Gender,Category,Type,Description
male,casual,shirt,Uiriuy Mens Casual Collared Short Sleeve Button Down Corduroy Shirt (Blue)
male,casual,shirt,Casual Men non-collared shirt(Green)
male,casual,shirt,Casual Men shirt(Black)
male,casual,shirt,Casual Men Collared button up shirt(Black)
male,casual,shirt,Casual Men Collared shirt Marshmello Emoji (Grey)
male,casual,shirt,Casual Men Collared shirt Vertical White strips (Brown)
male,casual,shirt,Casual Men Collared Sleeve Shirt(DeepRed)
male,casual,shirt,Casual Men Collared Short Sleeve Shirt(White)
male,casual,shirt,Casual Men Contrast Collar Pocket Patched Button Up Shirt (Khaki)
male,casual,shirt,Casual Men Solid Buttons Beach Double Pocket Turndown Short Sleeve Shirt (Pink)
male,casual,shirt,Casual Men Solid Buttons Beach Double Pocket Turndown Short Sleeve Shirt (Red)
male,casual,shirt,Casual Men Double Pocket Short Sleeve Shirt ( Yellow )
male,casual,shirt,Casual Men Cotton and Linen Thin Long Sleeve Shirt (Navy)
male,casual,shirt,Casual Men One Color Short Sleeve T-shirt ( Grey )
male,casual,shirt,Casual Men One Color Short Sleeve T-shirt (White)
male,casual,shirt,Casual Men Polo Short Sleeve Zipper Lapel Top Shirt ( Black)
male,casual,shirt,Casual Men Graphic Tee With Printed Japanese Style (Black)
male,casual,shirt,Casual Men Cartoon Graphic Tee ( Grey )
male,casual,shirt,Casual Men Letter Graphic Tee WHY NOT. (Black)
male,casual,shirt,Casual Men Letter Graphic Tee YOUNG FREE (White)
male,casual,shirt,Casual Men Bear Graphic and letter I HATE YOU short sleeve shirt(Red)
male,casual,shirt,Casual Men Claws Graphic Short Sleeve Tee ( Yellow )
male,casual,shirt,Casual Men Astronaut Graphic Short Sleeve Tee ( Purple )
male,casual,shirt,Casual Men Fish Bone Graphic Short Sleeve T shirt ( Khaki)
male,casual,shirt,Casual Men Bird printed Graphic Short Sleeve T shirt ( Green )
male,casual,shirt,Casual Men Browser Dinosaur Game Graphic Tee ( Black )
male,casual,shirt,Casual Men Basketball Player Graphic Tee ( Black )
male,casual,shirt,Casual Men Letter Graphic Tee PEACE ( White )
male,casual,shirt,Casual Men Nike Tee ( White )
male,casual,shirt,Casual Men Adidas Tee ( White )
male,casual,pant,Summer Casual Pants Men Breathable Polyester Korean Fashion Semi-wide Banded Waist Slacks Straight Loose Drape Trousers (M-Khaki)
male,casual,pant,Casual Men Cozy Stylish Winter Sweatpants Wide-leg Elastic Waist Pockets (Black)
male,casual,pant,Casual Men Chino pant (Khakis)
male,casual,pant,Casual Men Chino pant ( Light Green )
male,casual,pant,Casual Men Chino pant (Military Blue)
male,casual,pant,Casual Men Cargo Pant (Khaki)
male,casual,pant,Casual Men Cargo Pant (White)
male,casual,pant,Casual Men Cargo Pant (Off-white)
male,casual,pant,Casual Men Cargo Pant (Navy Blue)
male,casual,pant,Casual Men Cargo Pant (Military Green)
male,casual,pant,Casual Men Jogger Pant (Silver)
male,casual,pant,Casual Men Jogger Sweatpants (Dark Grey)
male,casual,pant,Casual Men Jogger Sweatpants (Light Grey)
male,casual,pant,Casual Men Jogger Sweatpants (White)
male,casual,pant,Casual Men Jogger Sweatpants (Black)
male,casual,pant,Casual Men Jeans1 (Blue)
male,casual,pant,Casual Men Jeans2 (Blue)
male,casual,pant,Casual Men Jeans3 (Blue)
male,casual,pant,Casual Men Jeans Straight leg (Blue)
male,casual,pant,Casual Men Tapered-leg Jeans (Blue)
male,casual,pant,Casual Men Loose Fit Jeans (Blue)
male,casual,pant,Casual Men Jeans (Black)
male,casual,pant,Casual Men Skinny-leg Jeans (Black)
male,casual,pant,Casual Men Retro Bell Bottom Jeans (Black)
male,casual,pant,Casual Men Slim-fit Chino trouser (Khaki)
female,casual,blouse,Linen short shirt Green
female,casual,blouse,Solid Crop Rib Knit Tee Green
female,casual,blouse,Black crop top 
female,casual,blouse,White short shirt crop
female,casual,blouse,White woman button down shirt
female,casual,blouse,Nude color wide neck shirt
female,casual,blouse,White crop top wide neck shirt
female,casual,blouse,Sky blue button up crop top shirt
female,casual,blouse,White contrast binding Tie Front crop tee
female,casual,blouse,Mono Crop top V shape Tee
female,casual,blouse,Pink Contrast Collar ribbed Knit Crop Tee
female,casual,blouse,White two black ribbon crop top tee
female,casual,blouse,Pink wide neck crop top tee
female,casual,blouse,Crop top long hand tee Khaki color
female,casual,blouse,White Wool long hand crop top tee
female,casual,blouse,Purple button down crop top blouse
female,casual,blouse,White solid pocket button Front long sleeve Lapel shirt 
female,casual,blouse,Pink Long sleeve shirt
female,casual,blouse,Navy long sleeve shirt
female,casual,blouse,Button down Plaid Knotted Shirt White
female,casual,blouse,Navy-white Plaid knotted shirt
female,casual,blouse,Blue jean crop top shirt
female,casual,blouse,Striped blue crop top shirt
female,casual,blouse,Black and white striped Crop top shirt
female,casual,blouse,Yellow-white thin striped button down shirt
female,casual,lowerwear,Jeans1
female,casual,lowerwear,Small waisted wide angle jeans
female,casual,lowerwear,Blue jeans1
female,casual,lowerwear,Navy jeans
female,casual,lowerwear,Black jeans
female,casual,lowerwear,Khakis cargo pant
female,casual,lowerwear,Cream cargo pant
female,casual,lowerwear,White cargo pant
female,casual,lowerwear,Light green cargo pant
female,casual,lowerwear,Blue jeans2
